Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Buenos Aires Cafe,78702,08/20/2019,85,"1201 E 6TH ST
AUSTIN, TX 78702
(30.264356, -97.730373)",10187892,Routine Inspection
Taco Cabana #129,78741,11/08/2021,91,"2507 E RIVERSIDE DR
AUSTIN, TX 78741
(30.23403, -97.723776)",2800922,Routine Inspection
Kismet Cafe,78751,07/21/2021,83,"1000 E 41ST ST
AUSTIN, TX 78751
(30.298554, -97.72006)",11704512,Routine Inspection
Springhill Restaurant,78660,10/28/2019,64,"2505 W PECAN ST
AUSTIN, TX 78660
(30.447602, -97.653521)",2800673,Routine Inspection
International House of Pancakes,78751,10/03/2019,99,"901 E KOENIG LN
AUSTIN, TX 78751
(30.320769, -97.709861)",2802877,Routine Inspection
"Village at the Triangle, The",78751,03/10/2020,98,"4517 TRIANGLE AVE
AUSTIN, TX 78751
(30.313567, -97.734458)",12186178,Routine Inspection
TLLT BBQ,78717,09/17/2020,86,"11301 LAKELINE BLVD
AUSTIN, TX 78717
(30.479897, -97.797927)",12185747,Routine Inspection
La Quinta Inn #0522,78741,12/28/2021,94,"1603 E OLTORF ST
AUSTIN, TX 78741
(30.233435, -97.739816)",2803265,Routine Inspection
Star Bar,78701,10/22/2019,96,"600 W 6TH ST
AUSTIN, TX 78701
(30.269687, -97.748635)",10305392,Routine Inspection
Wing's N More,78660,12/27/2019,78,"1200 W HOWARD LN
AUSTIN, TX 78660",2802223,Routine Inspection
Via 313 Pizza,78749,11/25/2019,92,"6705 W US 290 HWY
AUSTIN, TX 78749",11318005,Routine Inspection
Bee Tree Farm & Dairy,78653,04/17/2019,97,"8317 BURLESON MANOR RD
AUSTIN, TX 78653
(30.274721, -97.523644)",11654483,Routine Inspection
Step In Grocery,78752,05/06/2020,91,"7309 CAMERON RD
AUSTIN, TX 78752
(30.328481, -97.690673)",2803597,Routine Inspection
Starbuck's Coffee #6251,78759,10/11/2019,99,"10900 RESEARCH BLVD
AUSTIN, TX 78759
(30.401922, -97.746124)",2801159,Routine Inspection
China Family,78752,08/30/2021,73,"6801 AIRPORT BLVD
AUSTIN, TX 78752
(30.33384, -97.71687)",12125306,Routine Inspection
IDEA Health Professions,78721,05/29/2020,100,"5816 WILCAB RD
AUSTIN, TX 78721
(30.273425, -97.675176)",12185887,Routine Inspection
IPIC-GOLD CLASS ENTERTAINMENT LLC,78758,04/29/2021,83,"3225 AMY DONOVAN PLZ
AUSTIN, TX 78758
(30.396744, -97.727966)",10515702,Routine Inspection
Vivo,78752,08/05/2021,81,"6406 N IH
AUSTIN, TX 78752",11223207,Routine Inspection
Vic & Al's,78722,09/29/2020,95,"2406 MANOR RD
AUSTIN, TX 78722
(30.28466, -97.716836)",12392551,Routine Inspection
Longhorn Village - Java Ranch,78732,11/17/2020,100,"12501 LONGHORN PKWY
AUSTIN, TX 78732
(30.351111, -97.909249)",10260202,Routine Inspection
Make It Sweet,78757,03/22/2021,97,"9070 RESEARCH BLVD
AUSTIN, TX 78757
(30.373498, -97.727719)",10726398,Routine Inspection
Church's Chicken,78729,11/24/2021,87,"13729 N US 183 HWY
AUSTIN, TX 78729",10005828,Routine Inspection
Chen's Noodle House,78759,01/27/2021,91,"8650 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.433561, -97.77183)",10189519,Routine Inspection
Johnny Carino's,78748,03/31/2020,94,"9500 S IH
AUSTIN, TX 78748",11792053,Routine Inspection
OOB SV - IL CANE ROSSO/ COWTIPPING CREAMERY,78745,06/10/2019,86,"4715 S LAMAR BLVD
SUNSET VALLEY, TX 78745
(30.232916, -97.810819)",11494251,Routine Inspection
Whole Foods - Kikka,78703,12/02/2021,100,"525 N LAMAR BLVD
AUSTIN, TX 78703
(30.27092, -97.754286)",2802657,Routine Inspection
El Pollo Rico # 8,78722,06/29/2020,75,"3909 N IH
AUSTIN, TX 78722",11964856,Routine Inspection
Sonic Drive In,78756,02/05/2020,93,"4929 BURNET RD
AUSTIN, TX 78756
(30.320967, -97.739264)",2800395,Routine Inspection
Oasis Texas Brewing Co.,78732,08/14/2019,95,"6550 COMANCHE TRL
AUSTIN, TX 78732
(30.406508, -97.874421)",11175781,Routine Inspection
Fast Market #4567,78617,07/27/2021,95,"2001 E SH
AUSTIN, TX 78617",12393137,Routine Inspection
Mi Casita,78725,04/04/2019,90,"9809 FM 969 RD
AUSTIN, TX 78725
(30.269023, -97.627029)",11633987,Routine Inspection
BC - Madam Mam's Thai Cuisine,78738,04/28/2021,74,"3929 MARKET ST
BEE CAVE, TX 78738
(30.307616, -97.937139)",10794093,Routine Inspection
Godinez Bakery,78753,11/02/2021,99,"9616 N LAMAR BLVD
AUSTIN, TX 78753
(30.366401, -97.695129)",12186270,Routine Inspection
PF - Target Store T-2495 (Starbucks),78660,10/14/2021,99,"18700 LIMESTONE COMMERCIAL DR
PFLUGERVILLE, TX 78660
(30.466271, -97.59687)",12392899,Routine Inspection
"Children's Courtyard, The",78754,09/28/2021,96,"11012 HARRIS BRANCH PKWY
AUSTIN, TX 78754
(30.344461, -97.613446)",2800847,Routine Inspection
101 by Tea Haus LLC,78752,01/22/2021,86,"6929 AIRPORT BLVD
AUSTIN, TX 78752
(30.336576, -97.718267)",11785910,Routine Inspection
C-Boy's Heart & Soul,78704,02/19/2020,98,"2008 S CONGRESS AVE
AUSTIN, TX 78704
(30.24369, -97.751871)",11066944,Routine Inspection
Total Fitness and Nutrition,78750,01/20/2021,76,"13776 N US 183 HWY
AUSTIN, TX 78750",2802669,Routine Inspection
"Learning Experience, The",78634,07/30/2020,100,"20908 BURGAN PATH
HUTTO, TX 78634
(30.496685, -97.58392)",12185629,Routine Inspection
Rosie's Day Care,78752,10/14/2019,100,"7512 CAMERON RD
AUSTIN, TX 78752
(30.330457, -97.688352)",2800928,Routine Inspection
7-Eleven,78704,12/16/2019,82,"1403 S LAMAR BLVD
AUSTIN, TX 78704
(30.253094, -97.763396)",10479184,Routine Inspection
MN-Country Boyz Fixins,78653,07/01/2020,83,"101 N LEXINGTON ST
MANOR, TX 78653
(30.341398, -97.557848)",12123072,Routine Inspection
Pei Wei Asian Diner,78704,01/12/2021,90,"4200 S LAMAR BLVD
AUSTIN, TX 78704
(30.235252, -97.794796)",2802412,Routine Inspection
Starbucks Coffee #6470,78701,12/01/2020,95,"1001 CONGRESS AVE
AUSTIN, TX 78701
(30.271775, -97.741424)",2801981,Routine Inspection
Caffe Medici,78704,02/08/2021,91,"1100 S LAMAR BLVD
AUSTIN, TX 78704
(30.255461, -97.761861)",11353321,Routine Inspection
RW - Chinatown,78746,05/28/2020,73,"2712 BEE CAVES RD
ROLLINGWOOD, TX 78746
(30.270894, -97.786798)",11087574,Follow-Up Inspection
Torchy's Tacos,78701,11/20/2019,98,"110 SAN ANTONIO ST
AUSTIN, TX 78701
(30.264904, -97.749028)",12074197,Routine Inspection
Club Mis Amigos,78617,04/19/2019,85,"13820 FM 812 RD
AUSTIN, TX 78617
(30.121486, -97.636225)",11814528,Routine Inspection
Galaxy Cafe,78748,11/18/2021,85,"9911 BRODIE LN
AUSTIN, TX 78748
(30.184608, -97.849046)",2802121,Routine Inspection
Tienda Mexicana,78753,12/11/2020,92,"825 E RUNDBERG LN
AUSTIN, TX 78753
(30.357466, -97.686736)",10692976,Routine Inspection
Mooyah Burgers Fries Shakes,78717,03/16/2020,95,"11301 LAKELINE BLVD
AUSTIN, TX 78717
(30.479897, -97.797927)",11508273,Routine Inspection
Jack in the Box #865,78752,08/30/2019,95,"6419 AIRPORT BLVD
AUSTIN, TX 78752
(30.32935, -97.715774)",10789679,Routine Inspection
Taqueria Arandinas,78723,05/19/2021,83,"1011 REINLI ST
AUSTIN, TX 78723
(30.31813, -97.706434)",2801965,Routine Inspection
Rosedale Market,78756,12/22/2020,87,"1309 W 45TH ST
AUSTIN, TX 78756
(30.315238, -97.741301)",10434172,Routine Inspection
Primrose School of Southwest Austin,78749,11/23/2020,99,"4920 DAVIS LN
AUSTIN, TX 78749
(30.206436, -97.859454)",10499904,Routine Inspection
ABIA Salt Lick BBQ,78719,07/31/2019,87,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202592, -97.666956)",11737449,Routine Inspection
Tucci's Southside Subs,78745,11/25/2019,98,"801 E WILLIAM CANNON DR
AUSTIN, TX 78745
(30.19096, -97.771937)",2800938,Routine Inspection
PF - Pecan St. Station Deli & Grill,78660,09/04/2020,94,"1005 W PECAN ST
PFLUGERVILLE, TX 78660
(30.443468, -97.628541)",12392666,Routine Inspection
Taco Bell #030090,78748,04/27/2021,97,"161 W SLAUGHTER LN
AUSTIN, TX 78748
(30.167177, -97.791574)",11066594,Routine Inspection
Popeye's #323 - Z & H Foods Inc.,78748,12/22/2020,91,"9718 MANCHACA RD
AUSTIN, TX 78748",11637609,Routine Inspection
La Casita Mexican Restaurant,78757,07/29/2020,76,"1519 W ANDERSON LN
AUSTIN, TX 78757
(30.351996, -97.722249)",10609544,Routine Inspection
Sa - Te'n Coffee and Eats,78751,07/08/2019,98,"4917 AIRPORT BLVD
AUSTIN, TX 78751
(30.310745, -97.715475)",11835267,Routine Inspection
HEB #24,78726,11/12/2019,100,"7301 N FM 620 RD
AUSTIN, TX 78726
(30.405266, -97.853234)",2801280,Follow-Up Inspection
Osio,78746,06/14/2021,90,"2901 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.255443, -97.810066)",11321694,Routine Inspection
Austin Resource Ctr. Homeless,78701,05/04/2020,83,"500 E 7TH ST
AUSTIN, TX 78701
(30.267652, -97.737726)",2801950,Routine Inspection
Cafe Regents,78735,05/18/2021,96,"3230 TRAVIS COUNTRY CIR
AUSTIN, TX 78735
(30.255231, -97.844938)",10819658,Routine Inspection
Wayside Schools,78747,09/15/2020,96,"10704 BRADSHAW RD
AUSTIN, TX 78747
(30.13723, -97.773994)",11985424,Routine Inspection
PF - Chipotle Mexican Grill #2634,78660,08/04/2020,99,"2424 FM 685 RD
PFLUGERVILLE, TX 78660
(30.462497, -97.597983)",12392439,Routine Inspection
La Hacienda Market,78753,07/01/2019,89,"9717 N LAMAR BLVD
AUSTIN, TX 78753
(30.366147, -97.695274)",2803754,Routine Inspection
Travis High School Child Development Center,78704,09/30/2021,99,"1314 E OLTORF ST
AUSTIN, TX 78704
(30.23418, -97.742811)",11309576,Routine Inspection
Randall's #2481 (Perishable),78703,05/01/2019,91,"1500 W 35TH ST
AUSTIN, TX 78703
(30.306183, -97.749509)",2800917,Routine Inspection
M & M Food Store #1,78741,02/11/2020,93,"4400 E BEN WHITE BLVD
AUSTIN, TX 78741
(30.215501, -97.734165)",2803799,Routine Inspection
7 - Eleven Convenience Store #25157B,78703,06/27/2019,85,"2620 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.282201, -97.776098)",11789420,Routine Inspection
Austin's Moontower Saloon,78748,06/11/2020,100,"10212 MANCHACA RD
AUSTIN, TX 78748",10720314,Routine Inspection
AFC Sushi@Randall's 2987,78732,06/26/2019,100,"5145 N FM 620 RD
AUSTIN, TX 78732
(30.390321, -97.884565)",10736882,Routine Inspection
La Hacienda Market,78752,12/06/2019,91,"7517 CAMERON RD
AUSTIN, TX 78752
(30.329586, -97.689879)",2804097,Routine Inspection
SV - IM Thai Cuisine,78745,02/26/2019,80,"5207 BRODIE LN
SUNSET VALLEY, TX 78745
(30.231557, -97.818916)",10495246,Routine Inspection
Freebirds,78704,05/11/2020,98,"515 S CONGRESS AVE
AUSTIN, TX 78704
(30.256157, -97.74724)",10069508,Routine Inspection
Freebirds World Burrito,78726,12/22/2021,95,"8300 N FM 620 RD
AUSTIN, TX 78726
(30.4204, -97.84557)",10923283,Routine Inspection
El Pollo Rico #1,78753,10/14/2019,85,"9435 N IH
AUSTIN, TX 78753",2802940,Routine Inspection
Tee's Donuts,78731,08/19/2021,94,"3742 FAR WEST BLVD
AUSTIN, TX 78731
(30.355859, -97.758223)",11655910,Routine Inspection
Driskill Hotel - Lobby Bar,78701,05/11/2021,87,"604 BRAZOS ST
AUSTIN, TX 78701
(30.268086, -97.741319)",10917617,Routine Inspection
Krispy Kreme,78745,06/03/2021,85,"701 E STASSNEY LN
AUSTIN, TX 78745
(30.2, -97.77)",12186185,Routine Inspection
Jack in the Box #912,78723,06/18/2019,83,"6540 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.304244, -97.661165)",10790632,Routine Inspection
Bill Miller BBQ,78745,06/28/2019,81,"709 E BEN WHITE BLVD
AUSTIN, TX 78745
(30.218036, -97.755599)",2800059,Routine Inspection
Taco Cabana #203,78758,07/09/2019,86,"8415 RESEARCH BLVD
AUSTIN, TX 78758
(30.358489, -97.71591)",2800517,Routine Inspection
C-Mart #10,78748,04/27/2021,92,"3008 W SLAUGHTER LN
AUSTIN, TX 78748
(30.179125, -97.840609)",2803805,Routine Inspection
Ramsey Edition,78660,10/21/2020,84,"15630 VISION DR
AUSTIN, TX 78660
(30.450467, -97.661796)",11325268,Routine Inspection
Kiker Elementary,78739,04/23/2021,100,"5913 LA CROSSE AVE
AUSTIN, TX 78739
(30.192193, -97.881492)",2800126,Routine Inspection
El Pollo Rico #13,78745,11/26/2019,99,"110 E WILLIAM CANNON DR
AUSTIN, TX 78745
(30.19287, -97.77775)",12185836,Routine Inspection
"Tokyo Gardens Catering, LLC",78704,07/07/2021,98,"101 W OLTORF ST
AUSTIN, TX 78704
(30.239243, -97.754266)",2802900,Routine Inspection
Little Folks Bilingual CDC,78723,01/21/2021,97,"5706 REICHER DR
AUSTIN, TX 78723
(30.303247, -97.67723)",2800970,Routine Inspection
Alamo Drafthouse South Mopac,78749,10/22/2019,96,"5701 W SLAUGHTER LN
AUSTIN, TX 78749
(30.201082, -97.868511)",10700183,Routine Inspection
St Austin's Church,78705,03/18/2021,94,"2026 GUADALUPE ST
AUSTIN, TX 78705
(30.283663, -97.741973)",2801144,Routine Inspection
Taco Bell #030098,78717,08/30/2021,91,"9900 W PARMER LN
AUSTIN, TX 78717
(30.486294, -97.770553)",11066586,Routine Inspection
Faith Lutheran Church,78757,03/19/2019,96,"6600 WOODROW AVE
AUSTIN, TX 78757
(30.337714, -97.728247)",10800848,Routine Inspection
PF - Yaghis Pizzeria,78660,11/22/2021,100,"1552 FM 685 RD
PFLUGERVILLE, TX 78660
(30.45257, -97.60398)",12392644,Routine Inspection
Kwick In,78702,05/05/2021,87,"1149 AIRPORT BLVD
AUSTIN, TX 78702
(30.273249, -97.697816)",10748818,Routine Inspection
"Wanna Play, LLC",78613,08/11/2021,100,"14010 N US 183 HWY
AUSTIN, TX 78613",10103530,Routine Inspection
LW - Lake Travis Elementary School,78734,08/28/2020,100,"15303 KOLLMEYER DR
LAKEWAY, TX 78734
(30.371065, -97.94405)",2802502,Routine Inspection
PF - Best Western Plus Inn & Suites,78660,06/29/2021,99,"16101 IMPACT WAY
PFLUGERVILLE, TX 78660
(30.422261, -97.590565)",12392373,Routine Inspection
BC - Tokyo Gardens Catering,78738,11/03/2020,100,"12400 W SH
BEE CAVE, TX 78738",10262036,Routine Inspection
Little Folks Bilingual CDC,78723,11/04/2019,100,"5706 REICHER DR
AUSTIN, TX 78723
(30.303247, -97.67723)",2800970,Routine Inspection
Tony's Jamaican Food,78660,12/06/2019,100,"2700 W PECAN ST
AUSTIN, TX 78660
(30.449334, -97.657083)",12062528,Routine Inspection
RZN Enterprises Inc.,78757,07/28/2020,94,"1700 W ANDERSON LN
AUSTIN, TX 78757
(30.352668, -97.723662)",10234232,Routine Inspection
Texican Cafe,78613,07/30/2020,84,"11066 PECAN PARK BLVD
AUSTIN, TX 78613
(30.470193, -97.802183)",2802131,Routine Inspection
Royal Blue Grocery,78701,11/30/2021,96,"301 BRAZOS ST
AUSTIN, TX 78701
(30.2651, -97.74245)",11050047,Routine Inspection
Wells Branch Food Mart,78727,06/02/2021,83,"3505 W WELLS BRANCH PKWY
AUSTIN, TX 78727",11698611,Routine Inspection
"Castilian, The",78705,09/13/2019,83,"2323 SAN ANTONIO ST
AUSTIN, TX 78705
(30.287311, -97.742693)",2802263,Routine Inspection
PF - Russo's New York Pizzeria,78660,01/08/2021,93,"18816 LIMESTONE COMMERCIAL SHL
PFLUGERVILLE, TX 78660
(30.468797, -97.595887)",12392938,Routine Inspection
Lost Creek Ctry Club Halfwy Hs,78746,05/03/2019,100,"2612 LOST CREEK BLVD
AUSTIN, TX 78746
(30.275231, -97.843793)",2800702,Routine Inspection
Stop n Save #3,78741,09/27/2021,86,"1800 BURTON DR
AUSTIN, TX 78741
(30.235752, -97.728627)",10557355,Routine Inspection
Applebee's,78613,12/10/2021,93,"11013 LAKELINE MALL DR
AUSTIN, TX 78613
(30.471998, -97.80167)",10870119,Routine Inspection
El Taquito,78741,04/27/2021,77,"1713 OLD EAST RIVERSIDE DR
AUSTIN, TX 78741
(30.243949, -97.730099)",10008932,Routine Inspection
Nana's Playhouse Learning Center,78745,12/04/2020,96,"4406 RUSSELL DR
AUSTIN, TX 78745
(30.227884, -97.786555)",10500566,Routine Inspection
OOB - Branch Bar-B-Que,78728,05/15/2019,99,"1779 W WELLS BRANCH PKWY
AUSTIN, TX 78728",2800990,Routine Inspection
Poke - Poke,78704,12/26/2019,98,"3100 S CONGRESS AVE
AUSTIN, TX 78704
(30.231642, -97.75898)",11561169,Routine Inspection
Pho King,78753,07/25/2019,96,"1021 E PARMER LN
AUSTIN, TX 78753
(30.398737, -97.654816)",10314266,Routine Inspection
Fruttilandia,78744,07/14/2021,81,"5200 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.180078, -97.747839)",11711242,Routine Inspection
Tiff's Treats,78759,04/21/2020,96,"11011 RESEARCH BLVD
AUSTIN, TX 78759
(30.403592, -97.745141)",10172143,Routine Inspection
34th Street Cafe,78705,01/13/2021,87,"1005 W 34TH ST
AUSTIN, TX 78705
(30.302844, -97.745081)",2801118,Routine Inspection
Wonder Bar,78758,10/21/2021,91,"11500 ROCK ROSE AVE
AUSTIN, TX 78758
(30.401164, -97.722738)",11487558,Routine Inspection
Bill Miller Bar-B-Q,78728,11/24/2020,97,"14718 N IH
AUSTIN, TX 78728",2801785,Routine Inspection
San Francisco Bakery Cafe,78757,10/31/2019,84,"2900 W ANDERSON LN
AUSTIN, TX 78757
(30.35962, -97.737999)",2800759,Routine Inspection
Phoenicia Deli & Bakery,78756,02/22/2019,79,"4701 BURNET RD
AUSTIN, TX 78756
(30.318138, -97.739856)",2801285,Routine Inspection
Tortilleria Krystal,78753,01/08/2020,85,"1033 E HOWARD LN
AUSTIN, TX 78753
(30.409133, -97.647939)",11170853,Routine Inspection
Bill Miller BBQ,78754,07/27/2020,91,"8700 E US 290 HWY
AUSTIN, TX 78754
(30.32871, -97.658932)",2801889,Routine Inspection
Wag-A-Bag,78729,12/27/2019,91,"6294 MC NEIL DR
AUSTIN, TX 78729
(30.441162, -97.749708)",2803465,Routine Inspection
HEB Deli #236,78660,08/14/2019,100,"1434 W WELLS BRANCH PKWY
AUSTIN, TX 78660
(30.441282, -97.66529)",2800654,Routine Inspection
Sonic Drive-In #1507,78753,06/25/2021,87,"9325 N LAMAR BLVD
AUSTIN, TX 78753
(30.362817, -97.69719)",12392846,Routine Inspection
Grab N Goat,78704,02/24/2020,99,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.232188, -97.758645)",12185962,Routine Inspection
Conans Pizza North,78757,08/26/2019,88,"2438 W ANDERSON LN
AUSTIN, TX 78757
(30.356395, -97.731374)",2800122,Routine Inspection
Sake Mama,78701,06/27/2019,96,"519 E 6TH ST
AUSTIN, TX 78701
(30.26659, -97.737567)",11916927,Routine Inspection
Olive Garden #1537,78750,02/15/2019,94,"12827 N FM 620 RD
AUSTIN, TX 78750",11441907,Routine Inspection
Lady Quacken Bush's Cakery,78723,01/30/2020,91,"1900 SIMOND AVE
AUSTIN, TX 78723
(30.296791, -97.704054)",12028759,Routine Inspection
Accent Food Service,78758,01/05/2022,99,"9315 MC NEIL RD
AUSTIN, TX 78758
(30.37565, -97.725479)",11610713,Routine Inspection
Elephant Room,78701,01/14/2020,86,"315 CONGRESS AVE
AUSTIN, TX 78701
(30.26569, -97.743669)",2800048,Routine Inspection
Minibar,78701,03/12/2019,91,"607 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.26781, -97.740249)",11000849,Routine Inspection
HEB Food Store #227,78748,06/21/2021,98,"2110 W SLAUGHTER LN
AUSTIN, TX 78748
(30.173754, -97.825398)",2803444,Routine Inspection
MN - Mr. Jim's,78653,07/17/2019,95,"302 W MURRAY AVE
MANOR, TX 78653
(30.348016, -97.558415)",12177170,Routine Inspection
Child Inc. - Fountain Plaza,78751,12/02/2019,98,"825 E 53RD HALF ST
AUSTIN, TX 78751
(30.313759, -97.714462)",2800499,Routine Inspection
Paredes Middle School,78748,11/19/2019,100,"10001 DAVID MOORE DR
AUSTIN, TX 78748
(30.166166, -97.813942)",2801098,Routine Inspection
Merit Coffee,78701,05/26/2021,100,"222 WEST AVE
AUSTIN, TX 78701
(30.267304, -97.751736)",11832364,Routine Inspection
La Mexicana Bakery,78704,08/12/2020,91,"1924 S 1ST ST
AUSTIN, TX 78704
(30.245719, -97.756903)",2800514,Routine Inspection
Newton Collins Elementary,78744,09/30/2021,96,"7609 APOGEE BLVD
AUSTIN, TX 78744",11997193,Routine Inspection
Gattis Pizza,78745,11/25/2019,90,"801 E WILLIAM CANNON DR
AUSTIN, TX 78745
(30.19096, -97.771937)",12094268,Routine Inspection
Wingstop # 1275,78750,09/21/2020,90,"13450 N US 183 HWY
AUSTIN, TX 78750
(30.486791, -97.804812)",11745906,Routine Inspection
University Baptist Church,78705,01/22/2020,89,"2130 GUADALUPE ST
AUSTIN, TX 78705
(30.284747, -97.741879)",10117252,Routine Inspection
Pupuseria Usuluteca y Mas,78758,07/09/2020,93,"9306 N LAMAR BLVD
AUSTIN, TX 78758
(30.362262, -97.697491)",11620495,Routine Inspection
Cooper's Sandwiches,78735,09/28/2021,96,"4601 SOUTHWEST PKWY
AUSTIN, TX 78735
(30.239904, -97.831659)",12185936,Routine Inspection
Accent Food Markets,78717,01/26/2021,99,"9825 SPECTRUM DR
AUSTIN, TX 78717
(30.48076, -97.777625)",11457154,Routine Inspection
Jack in the Box #867,78749,08/04/2020,98,"6210 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.231365, -97.864859)",10789639,Routine Inspection
"Park at the Domain, The",78758,12/31/2019,77,"11601 DOMAIN DR
AUSTIN, TX 78758
(30.402917, -97.723978)",10583690,Routine Inspection
Gattis Pizza,78705,07/16/2019,86,"3711 GUADALUPE ST
AUSTIN, TX 78705
(30.302423, -97.738338)",12095859,Routine Inspection
Tacos Durango Inc.,78758,03/26/2020,84,"11900 METRIC BLVD
AUSTIN, TX 78758
(30.400054, -97.703407)",11691638,Routine Inspection
Pizza Hut,78723,08/10/2021,97,"6307 CAMERON RD
AUSTIN, TX 78723
(30.320779, -97.695817)",2802720,Routine Inspection
Pizza Hut,78730,06/23/2021,95,"10601 FM 2222 RD
AUSTIN, TX 78730",2802656,Routine Inspection
Popeye's #322,78745,02/05/2021,93,"111 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.193108, -97.779336)",11637629,Routine Inspection
Flat Creek Estate,78654,09/28/2020,95,"24912 E SINGLETON BEND RD
MARBLE FALLS, TX 78654
(30.479232, -98.045083)",2803125,Routine Inspection
Way South Philly Deli,78756,06/10/2019,96,"5222 BURNET RD
AUSTIN, TX 78756
(30.324335, -97.739515)",11644464,Routine Inspection
Snack Max # 7,78736,04/23/2020,100,"7912 W US 290 HWY
AUSTIN, TX 78736
(30.229214, -97.888095)",11753875,Routine Inspection
Subway #45205,78717,01/31/2019,96,"9900 W PARMER LN
AUSTIN, TX 78717
(30.486294, -97.770553)",10340373,Routine Inspection
Yaghi's New York Pizzaria,78749,11/24/2021,93,"4220 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.222005, -97.838272)",2802742,Routine Inspection
Subway #51421,78717,01/20/2021,91,"10900 LAKELINE MALL DR
AUSTIN, TX 78717
(30.474668, -97.795856)",12186164,Routine Inspection
China Spice,78753,12/06/2019,66,"9710 N LAMAR BLVD
AUSTIN, TX 78753
(30.36686, -97.694871)",10618280,Routine Inspection
PF - Sonic Drive-In #2767,78660,11/10/2020,93,"2014 W PECAN ST
PFLUGERVILLE, TX 78660
(30.446148, -97.646876)",12392738,Routine Inspection
Twin Peaks,78745,02/01/2021,96,"701 E STASSNEY LN
AUSTIN, TX 78745
(30.2, -97.77)",10080943,Routine Inspection
LW - Sandeez Hamburger Hut,78734,04/13/2021,81,"113 N FM 620 RD
LAKEWAY, TX 78734",11963248,Routine Inspection
Word Of Mouth Catering,78744,03/16/2021,87,"5002 BURLESON RD
AUSTIN, TX 78744
(30.211439, -97.728886)",12186070,Routine Inspection
Ichiban at Austin,78757,06/02/2021,83,"7310 BURNET RD
AUSTIN, TX 78757
(30.349328, -97.735056)",10215188,Routine Inspection
Taqueria Chapala Jalisco,78702,08/26/2019,83,"2101 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.256164, -97.721896)",2801010,Routine Inspection
Wal-Mart Supercenter #4554,78757,08/26/2019,89,"2525 W ANDERSON LN
AUSTIN, TX 78757
(30.356679, -97.732239)",10467333,Routine Inspection
JG Manchaca Property,78748,06/02/2021,94,"11500 MANCHACA RD
AUSTIN, TX 78748",11280821,Routine Inspection
Children's Courtyard,78759,01/04/2022,97,"4213 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.371397, -97.756992)",2801652,Routine Inspection
La Hacienda Market,78758,06/17/2021,91,"1812 PAYTON GIN RD
AUSTIN, TX 78758
(30.365595, -97.717278)",2804030,Routine Inspection
TJ's Seafood,78752,04/28/2021,87,"7110 CAMERON RD
AUSTIN, TX 78752
(30.325727, -97.692614)",12143709,Routine Inspection
Next Level burger,78703,06/24/2019,100,"525 N LAMAR BLVD
AUSTIN, TX 78703
(30.27092, -97.754286)",12039703,Routine Inspection
Clayton Elementary,78739,04/12/2019,100,"7525 LA CROSSE AVE
AUSTIN, TX 78739
(30.195826, -97.906772)",2802894,Routine Inspection
Retirement and Nursing Center-Austin,78757,06/24/2019,79,"6909 BURNET LN
AUSTIN, TX 78757
(30.345718, -97.736662)",11318323,Routine Inspection
OOB - Sonic,78741,02/13/2020,94,"1901 MONTOPOLIS DR
AUSTIN, TX 78741
(30.22586, -97.702846)",2801264,Routine Inspection
Meches Mexican Restaurant,78617,05/09/2019,64,"13602 FM 812 RD
AUSTIN, TX 78617
(30.123615, -97.6388)",11700658,Routine Inspection
Los Pepes Mexican Food,78723,01/29/2020,66,"4700 LOYOLA LN
AUSTIN, TX 78723
(30.309425, -97.666618)",10818868,Routine Inspection
Kawa Asian Kitchen,78732,06/28/2021,74,"5145 N FM 620 RD
AUSTIN, TX 78732
(30.390321, -97.884565)",11935418,Routine Inspection
La Feria Restaurant,78729,01/31/2019,95,"6301 W PARMER LN
AUSTIN, TX 78729
(30.445312, -97.743258)",11613770,Routine Inspection
MOD Super Fast Pizza,78726,08/27/2021,88,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.4545, -97.82678)",11337778,Routine Inspection
Tex-Mex Joes,78757,01/27/2020,82,"7600 N LAMAR BLVD
AUSTIN, TX 78757
(30.34424, -97.714946)",11082636,Routine Inspection
"Patika Coffee, LLC",78704,06/05/2020,97,"2159 S LAMAR BLVD
AUSTIN, TX 78704
(30.247673, -97.772702)",11213569,Routine Inspection
Barton Hill Food Mart,78704,09/27/2019,86,"2900 S LAMAR BLVD
AUSTIN, TX 78704
(30.243401, -97.7826)",10235373,Routine Inspection
